year,name,price,mileage,location,link
2007,Honda civic LX Sedan 4D,$4900,140000,"Grand Prairie, TX",https://www.facebook.com/marketplace/item/188753057241727/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2007,Honda civic LX Coupe 2D,$5900,150000,"Grand Prairie, TX",https://www.facebook.com/marketplace/item/601069051938413/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2007,Honda civic EX Coupe 2D,$2500,100000,"Carrollton, TX",https://www.facebook.com/marketplace/item/1229790580993086/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2008,Honda civic EX Sedan 4D,$5800,126000,"Carrollton, TX",https://www.facebook.com/marketplace/item/1658990767944736/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2008,Honda civic hybrid,$3000,111000,"Garland, TX",https://www.facebook.com/marketplace/item/725109739109983/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2008,Honda civic,$3,164000,"Dallas, TX",https://www.facebook.com/marketplace/item/1620524335053929/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2009,Honda civic EX Sedan 4D,$6000,147000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/2179081765626126/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2010,Honda civic,$4800,166000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/920943799354747/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2010,Honda civic,$5900,41000,"Pantego, TX",https://www.facebook.com/marketplace/item/595628765536239/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2010,Honda civic VP Sedan 4D,$3500,254000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/933390614325666/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2010,Honda civic DX Sedan 4D,$4000,182000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/765015092024796/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2010,Honda civic EX Sedan 4D,$5800,129000,"Irving, TX",https://www.facebook.com/marketplace/item/6384237281621111/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2010,Honda civic Hybrid Sedan 4D,$4000,119000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/532016432450794/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2010,Honda civic LX-S Sedan 4D,$3600,220000,"Dallas, TX",https://www.facebook.com/marketplace/item/541541128120382/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2011,Honda civic EX Sedan 4D,$5500,156000,"Carrollton, TX",https://www.facebook.com/marketplace/item/950967922568624/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2012,Honda civic LX Coupe 2D,$5900,106000,"Kennedale, TX",https://www.facebook.com/marketplace/item/608988561076683/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2012,Honda civic LX - $2000 Down Payment,$2000,154000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/498592282430417/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2012,Honda civic,$6500,122000,"Arlington, TX",https://www.facebook.com/marketplace/item/1902863050106634/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic LX Sedan 4D,$8500,105000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/132709623087243/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic,$2500,88000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/1446414482561020/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic LX Coupe 2D,$7500,115000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/1362257607903602/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic,$6600,90000,"Dallas, TX",https://www.facebook.com/marketplace/item/163612873205921/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic,$2500,N/A,"Fort Worth, TX",https://www.facebook.com/marketplace/item/911214313462217/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic,$2499,54000,"Dallas, TX",https://www.facebook.com/marketplace/item/8981990288542083/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic,$2500,N/A,"Fort Worth, TX",https://www.facebook.com/marketplace/item/250521483975595/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic EX-L Sedan 4D,$7500,128000,"Arlington, TX",https://www.facebook.com/marketplace/item/231478902619295/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic EX Sedan 4D,$7700,83000,"Plano, TX",https://www.facebook.com/marketplace/item/616815773629279/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2013,Honda civic,$1465,N/A,"Denton, TX",https://www.facebook.com/marketplace/item/1193528234677498/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2014,Honda civic,$3000,50000,"Dallas, TX",https://www.facebook.com/marketplace/item/535537561894933/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
